file,label,gt_probability,stt_probability,difference,gt_detected,stt_detected,same_detection
3696,신체학대,0.005583,0.017599,0.012017,False,False,True
3696,정서학대,0.002042,0.001278,-0.000763,False,False,True
3696,성학대,0.004078,0.008243,0.004165,False,False,True
3696,방임,0.987246,0.99191,0.004665,True,True,True
3706,신체학대,0.999141,0.998107,-0.001034,True,True,True
3706,정서학대,0.997322,0.988537,-0.008785,True,True,True
3706,성학대,0.035128,0.025162,-0.009965,False,False,True
3706,방임,0.009904,0.001581,-0.008323,False,False,True
3731,신체학대,0.018221,0.003667,-0.014554,False,False,True
3731,정서학대,0.982484,0.806779,-0.175705,True,True,True
3731,성학대,0.998725,0.998915,0.00019,True,True,True
3731,방임,0.020163,0.011547,-0.008616,False,False,True
3821,신체학대,0.031442,0.02465,-0.006792,False,False,True
3821,정서학대,0.997566,0.995777,-0.001788,True,True,True
3821,성학대,0.007343,0.006358,-0.000985,False,False,True
3821,방임,0.99723,0.997819,0.00059,True,True,True
3891,신체학대,0.01276,0.011459,-0.001301,False,False,True
3891,정서학대,0.998078,0.997999,-7.8e-05,True,True,True
3891,성학대,0.015756,0.020768,0.005012,False,False,True
3891,방임,0.994531,0.994815,0.000284,True,True,True
5036,신체학대,0.005938,0.008431,0.002493,False,False,True
5036,정서학대,0.997261,0.998399,0.001138,True,True,True
5036,성학대,0.005088,0.00574,0.000652,False,False,True
5036,방임,0.005336,0.008804,0.003468,False,False,True
5058,신체학대,0.004215,0.020154,0.01594,False,False,True
5058,정서학대,0.001603,0.00149,-0.000113,False,False,True
5058,성학대,0.996783,0.997842,0.001059,True,True,True
5058,방임,0.005254,0.004311,-0.000943,False,False,True
5069,신체학대,0.002559,0.002326,-0.000233,False,False,True
5069,정서학대,0.019742,0.021599,0.001857,False,False,True
5069,성학대,0.00236,0.002363,3e-06,False,False,True
5069,방임,0.993972,0.993793,-0.000178,True,True,True
